,Job,Type,Application Deadline,Salary
0,Animal Control Officer,Full Time,Open Until Filled,"$45,228.00 per Year"
1,Assistant Engineer,Full Time,Open Until Filled,"$38,127 - $45,062 per Year"
2,Building Inspector II,Full Time,Open Until Filled,"$42,436 per Year"
3,City Engineer,Full Time,Open Until Filled,Not Specified
4,Code Inspector,Full Time,Open Until Filled,"$33,632 per Year*"
5,Commissioner of Public Works,Full Time,Open Until Filled,Not Specified
6,Crossing Guard,Part Time,Open Until Filled,$43.75 per Day
7,Director of Police Department Community Outreach and Recruitment,Full Time,Open Until Filled,"$66,950.00 per Year"
8,First Deputy Commissioner of Public Works,Full Time,Open Until Filled,"$61,730.00 per Year"
9,Laboratory Technician (Sanitary Services),Full Time,Open Until Filled,"$29,406.00 per Year"
10,Staff Accountant,Full Time,Open Until Filled,"Up to $59,000 per Year"
11,Street Maintainer,Full Time,Open Until Filled,$18.36 Per Hour
12,Water & Sewer Systems Maintainer,Full Time,Open Until Filled,$20.71 per Hour
13,Water Meter Repairer,Full Time,Open Until Filled,$19.11 per Hour
